customer_ID,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,0,6,critical,radio/tv,1169.0,no known savings,more than 7 years,4,male,none,4.0,real estate,67,none,own,2,skilled,1.0,yes,yes,good
1,0,6,other existing credit,radio/tv,1169.0,no known savings,more than 7 years,4,male,none,4.0,real estate,67,none,own,2,skilled,1.0,yes,yes,good
2,less than 200,48,existing paid,radio/tv,5951.0,less than 100,less than 4 years,2,female,none,2.0,real estate,22,none,own,1,skilled,1.0,none,yes,bad
3,no checking,12,critical,education,2096.0,less than 100,less than 7 years,2,male,none,3.0,real estate,49,none,own,1,unskilled resident,2.0,none,yes,good
3,no checking,12,other existing credit,education,2096.0,less than 100,less than 7 years,2,male,none,3.0,real estate,49,none,own,1,unskilled resident,2.0,none,yes,good
4,0,42,existing paid,furniture/equipment,7882.0,less than 100,less than 7 years,2,male,guarantor,4.0,life insurance,45,none,for free,1,skilled,2.0,none,yes,good
5,0,24,delayed previously,new car,4870.0,less than 100,less than 4 years,3,male,none,4.0,no known property,53,none,for free,2,skilled,2.0,none,yes,bad
6,no checking,36,existing paid,education,9055.0,no known savings,less than 4 years,2,male,none,4.0,no known property,35,none,for free,1,unskilled resident,2.0,yes,yes,good
7,no checking,24,existing paid,furniture/equipment,2835.0,500<=Xless than 1000,more than 7 years,3,male,none,4.0,life insurance,53,none,own,1,skilled,1.0,none,yes,good
8,less than 200,36,existing paid,used car,6948.0,less than 100,less than 4 years,2,male,none,2.0,car,35,none,rent,1,high qualif/self emp/mgmt,1.0,yes,yes,good
9,no checking,12,existing paid,radio/tv,3059.0,more than 1000,less than 7 years,2,male,none,4.0,real estate,61,none,own,1,unskilled resident,1.0,none,yes,good
10,less than 200,30,critical,new car,5234.0,less than 100,unemployed,4,male,none,2.0,car,28,none,own,2,high qualif/self emp/mgmt,1.0,none,yes,bad
10,less than 200,30,other existing credit,new car,5234.0,less than 100,unemployed,4,male,none,2.0,car,28,none,own,2,high qualif/self emp/mgmt,1.0,none,yes,bad
11,less than 200,12,existing paid,new car,1295.0,less than 100,less than a year,3,female,none,1.0,car,25,none,rent,1,skilled,1.0,none,yes,bad
12,0,48,existing paid,business,4308.0,less than 100,less than a year,3,female,none,4.0,life insurance,24,none,rent,1,skilled,1.0,none,yes,bad
13,less than 200,12,existing paid,radio/tv,1567.0,less than 100,less than 4 years,1,female,none,1.0,car,22,none,own,1,skilled,1.0,yes,yes,good
14,0,24,critical,new car,1199.0,less than 100,more than 7 years,4,male,none,4.0,car,60,none,own,2,unskilled resident,1.0,none,yes,bad
14,0,24,other existing credit,new car,1199.0,less than 100,more than 7 years,4,male,none,4.0,car,60,none,own,2,unskilled resident,1.0,none,yes,bad
15,0,15,existing paid,new car,1403.0,less than 100,less than 4 years,2,female,none,4.0,car,28,none,rent,1,skilled,1.0,none,yes,good
16,0,24,existing paid,radio/tv,1282.0,less than 500,less than 4 years,4,female,none,2.0,car,32,none,own,1,unskilled resident,1.0,none,yes,bad
17,no checking,24,critical,radio/tv,2424.0,no known savings,more than 7 years,4,male,none,4.0,life insurance,53,none,own,2,skilled,1.0,none,yes,good
17,no checking,24,other existing credit,radio/tv,2424.0,no known savings,more than 7 years,4,male,none,4.0,life insurance,53,none,own,2,skilled,1.0,none,yes,good
18,0,30,no credits,business,8072.0,no known savings,less than a year,2,male,none,3.0,car,25,bank,own,3,skilled,1.0,none,yes,good
18,0,30,all paid,business,8072.0,no known savings,less than a year,2,male,none,3.0,car,25,bank,own,3,skilled,1.0,none,yes,good
19,less than 200,24,existing paid,used car,12579.0,less than 100,more than 7 years,4,female,none,2.0,no known property,44,none,for free,1,high qualif/self emp/mgmt,1.0,yes,yes,bad
20,no checking,24,existing paid,radio/tv,3430.0,500<=Xless than 1000,more than 7 years,3,male,none,2.0,car,31,none,own,1,skilled,2.0,yes,yes,good
21,no checking,9,critical,new car,2134.0,less than 100,less than 4 years,4,male,none,4.0,car,48,none,own,3,skilled,1.0,yes,yes,good
21,no checking,9,other existing credit,new car,2134.0,less than 100,less than 4 years,4,male,none,4.0,car,48,none,own,3,skilled,1.0,yes,yes,good
22,0,6,existing paid,radio/tv,2647.0,500<=Xless than 1000,less than 4 years,2,male,none,3.0,real estate,44,none,rent,1,skilled,2.0,none,yes,good
23,0,10,critical,new car,2241.0,less than 100,less than a year,1,male,none,3.0,real estate,48,none,rent,2,unskilled resident,2.0,none,no,good
23,0,10,other existing credit,new car,2241.0,less than 100,less than a year,1,male,none,3.0,real estate,48,none,rent,2,unskilled resident,2.0,none,no,good
24,less than 200,12,critical,used car,1804.0,less than 500,less than a year,3,male,none,4.0,life insurance,44,none,own,1,skilled,1.0,none,yes,good
24,less than 200,12,other existing credit,used car,1804.0,less than 500,less than a year,3,male,none,4.0,life insurance,44,none,own,1,skilled,1.0,none,yes,good
25,no checking,10,critical,furniture/equipment,2069.0,no known savings,less than 4 years,2,male,none,1.0,car,26,none,own,2,skilled,1.0,none,no,good
25,no checking,10,other existing credit,furniture/equipment,2069.0,no known savings,less than 4 years,2,male,none,1.0,car,26,none,own,2,skilled,1.0,none,no,good
26,0,6,existing paid,furniture/equipment,1374.0,less than 100,less than 4 years,1,male,none,2.0,real estate,36,bank,own,1,unskilled resident,1.0,yes,yes,good
27,no checking,6,no credits,radio/tv,426.0,less than 100,more than 7 years,4,male,none,4.0,car,39,none,own,1,unskilled resident,1.0,none,yes,good
27,no checking,6,all paid,radio/tv,426.0,less than 100,more than 7 years,4,male,none,4.0,car,39,none,own,1,unskilled resident,1.0,none,yes,good
28,more than 200,12,all paid,radio/tv,409.0,more than 1000,less than 4 years,3,female,none,3.0,real estate,42,none,rent,2,skilled,1.0,none,yes,good
29,less than 200,7,existing paid,radio/tv,2415.0,less than 100,less than 4 years,3,male,guarantor,2.0,real estate,34,none,own,1,skilled,1.0,none,yes,good
30,0,60,delayed previously,business,6836.0,less than 100,more than 7 years,3,male,none,4.0,no known property,63,none,own,2,skilled,1.0,yes,yes,bad
31,less than 200,18,existing paid,business,1913.0,more than 1000,less than a year,3,male,none,3.0,real estate,36,bank,own,1,skilled,1.0,yes,yes,good
32,0,24,existing paid,furniture/equipment,4020.0,less than 100,less than 4 years,2,male,none,2.0,car,27,stores,own,1,skilled,1.0,none,yes,good
33,less than 200,18,existing paid,new car,5866.0,less than 500,less than 4 years,2,male,none,2.0,car,30,none,own,2,skilled,1.0,yes,yes,good
34,no checking,12,critical,business,1264.0,no known savings,more than 7 years,4,male,none,4.0,no known property,57,none,rent,1,unskilled resident,1.0,none,yes,good
34,no checking,12,other existing credit,business,1264.0,no known savings,more than 7 years,4,male,none,4.0,no known property,57,none,rent,1,unskilled resident,1.0,none,yes,good
35,more than 200,12,existing paid,furniture/equipment,1474.0,less than 100,less than a year,4,female,none,1.0,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1.0,yes,yes,good
36,less than 200,45,critical,radio/tv,4746.0,less than 100,less than a year,4,male,none,2.0,life insurance,25,none,own,2,unskilled resident,1.0,none,yes,bad
36,less than 200,45,other existing credit,radio/tv,4746.0,less than 100,less than a year,4,male,none,2.0,life insurance,25,none,own,2,unskilled resident,1.0,none,yes,bad
